filename,rating,genre_1st,confidence_1st,genre_2nd,confidence_2nd,review_status,title
test2024-001.jpg,1,Nature Photography,0.9518,Portraits Photography,0.0200,auto,There is a view of the sky from an airplane window.
test2024-002.jpg,2,Street Photography,0.4649,Portraits Photography,0.2673,title-inferred,There are two towers that have a clock on each of them.
test2024-003.jpg,3,Street Photography,0.5066,Nature Photography,0.4923,title-inferred,There is a clock tower in the background of a city street.
test2024-004.jpg,4,Street Photography,0.9904,Portraits Photography,0.0065,auto,There are two women sitting on a ledge looking at the city.
test2024-005.jpg,4,Street Photography,0.8369,Portraits Photography,0.0904,auto,There are two people standing in front of a large cathedral.
test2024-006.jpg,1,Street Photography,0.9973,Nature Photography,0.0011,auto,There is a statue on top of a building with a cross on top.
test2024-007.jpg,2,Street Photography,0.9992,Nature Photography,0.0005,auto,There is a large building with a clock on the front of it.
test2024-008.jpg,4,Street Photography,0.5010,Product Photography,0.4984,title-inferred,There are two clocks on the side of a brick building.
test2024-009.jpg,4,Street Photography,0.7842,Nature Photography,0.2152,review,There is a large arch over a street with cars and people.
test2024-010.jpg,2,Street Photography,0.6436,Nature Photography,0.3547,review,There are many palm trees lining the street in the city.
test2024-011.jpg,2,Street Photography,0.9684,Nature Photography,0.0270,auto,There is a large building with a clock on top of it.
test2024-012.jpg,2,Street Photography,0.9978,Portraits Photography,0.0011,auto,There are people walking down a narrow alley way in the city.
test2024-013.jpg,4,Street Photography,0.9844,Portraits Photography,0.0146,auto,There is a woman standing on the sidewalk looking at her cell phone.
test2024-014.jpg,3,Street Photography,0.6079,Nature Photography,0.3825,review,There are many people standing on the street with their feet on the ground.
test2024-015.jpg,2,Street Photography,0.9985,Nature Photography,0.0009,auto,There is a very tall building that has a crane on top.
test2024-016.jpg,2,Street Photography,0.9991,Nature Photography,0.0004,auto,There is a tall building with many windows and balconies on it.
test2024-017.jpg,2,Street Photography,0.9981,Portraits Photography,0.0010,auto,There is a clock on the side of a building with statues on it.
test2024-018.jpg,3,Street Photography,0.9924,Portraits Photography,0.0052,auto,There is a man sitting on the sidewalk in front of a brick building.
test2024-019.jpg,3,Street Photography,0.9995,Nature Photography,0.0003,auto,There is a statue of a woman holding a baby on a pedestal.
test2024-020.jpg,1,Product Photography,0.8732,Portraits Photography,0.0865,auto,There is a close up of a gold necklace and earrings on display.
test2024-021.jpg,1,Street Photography,0.9935,Nature Photography,0.0033,auto,There is a plane that is flying in the sky over a building.
test2024-022.jpg,1,Street Photography,0.9963,Nature Photography,0.0028,auto,There is a clock on the top of a building with a sky background.
test2024-023.jpg,2,Street Photography,0.9953,Nature Photography,0.0024,auto,There is a large building with a dome on top of it.
test2024-024.jpg,2,Street Photography,0.9995,Nature Photography,0.0004,auto,There is a large clock tower in the middle of a city.
test2024-025.jpg,1,Street Photography,0.9959,Nature Photography,0.0022,auto,There is a clock on the top of a building with a sun in the background.
test2024-026.jpg,2,Nature Photography,0.5085,Street Photography,0.4375,title-inferred,There is a clock tower in the distance of a park.
test2024-027.jpg,2,Nature Photography,0.9981,Portraits Photography,0.0010,auto,There is a tower with a clock on it surrounded by flowers.
test2024-028.jpg,3,Street Photography,0.5006,Nature Photography,0.4984,title-inferred,There is a black and white photo of a building with a clock.
